'refractive index',Sodium,Magnesium,Aluminum,Silicon,Potassium,Calcium,Barium,Iron,class
'\'B5of10\'','\'B2of10\'','\'B5of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B6of10\'','\'B1of10\'','\'B1of10\'',5
'\'B5of10\'','\'B1of10\'','\'B4of10\'','\'B4of10\'','\'B7of10\'','\'B1of10\'','\'B6of10\'','\'B1of10\'','\'B1of10\'',5
'\'B4of10\'','\'B3of10\'','\'B1of10\'','\'B5of10\'','\'B8of10\'','\'B1of10\'','\'B6of10\'','\'B1of10\'','\'B1of10\'',5
'\'B3of10\'','\'B4of10\'','\'B1of10\'','\'B5of10\'','\'B8of10\'','\'B2of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',5
'\'B4of10\'','\'B4of10\'','\'B1of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'','\'B6of10\'','\'B1of10\'','\'B1of10\'',5
'\'B6of10\'','\'B5of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B1of10\'','\'B7of10\'','\'B1of10\'','\'B1of10\'',5
'\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B9of10\'','\'B2of10\'','\'B10of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'',5
'\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B9of10\'','\'B2of10\'','\'B10of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'',5
'\'B5of10\'','\'B4of10\'','\'B1of10\'','\'B4of10\'','\'B5of10\'','\'B1of10\'','\'B7of10\'','\'B1of10\'','\'B1of10\'',5
'\'B5of10\'','\'B4of10\'','\'B4of10\'','\'B6of10\'','\'B5of10\'','\'B2of10\'','\'B4of10\'','\'B1of10\'','\'B10of10\'',5
'\'B5of10\'','\'B4of10\'','\'B1of10\'','\'B4of10\'','\'B7of10\'','\'B1of10\'','\'B6of10\'','\'B1of10\'','\'B6of10\'',5
'\'B4of10\'','\'B5of10\'','\'B6of10\'','\'B4of10\'','\'B5of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',6
'\'B4of10\'','\'B5of10\'','\'B6of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',6
'\'B4of10\'','\'B6of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',6
'\'B4of10\'','\'B6of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',6
'\'B1of10\'','\'B6of10\'','\'B4of10\'','\'B4of10\'','\'B9of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',6
'\'B4of10\'','\'B7of10\'','\'B2of10\'','\'B5of10\'','\'B5of10\'','\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',6
'\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B6of10\'','\'B6of10\'','\'B1of10\'','\'B6of10\'','\'B1of10\'','\'B1of10\'',6
'\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B1of10\'','\'B7of10\'','\'B1of10\'','\'B6of10\'','\'B1of10\'','\'B1of10\'',6
'\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'',6
'\'B1of10\'','\'B5of10\'','\'B8of10\'','\'B5of10\'','\'B6of10\'','\'B3of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'',7
'\'B4of10\'','\'B6of10\'','\'B8of10\'','\'B7of10\'','\'B3of10\'','\'B3of10\'','\'B1of10\'','\'B6of10\'','\'B1of10\'',7
'\'B6of10\'','\'B5of10\'','\'B8of10\'','\'B3of10\'','\'B5of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',7
'\'B5of10\'','\'B7of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'','\'B2of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',7
'\'B6of10\'','\'B8of10\'','\'B5of10\'','\'B4of10\'','\'B2of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'',7
'\'B3of10\'','\'B5of10\'','\'B4of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'','\'B4of10\'','\'B3of10\'','\'B1of10\'',7
'\'B3of10\'','\'B7of10\'','\'B1of10\'','\'B7of10\'','\'B7of10\'','\'B1of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'',7
'\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B8of10\'','\'B7of10\'','\'B1of10\'','\'B4of10\'','\'B2of10\'','\'B2of10\'',7
'\'B3of10\'','\'B7of10\'','\'B1of10\'','\'B6of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'',7
'\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B6of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B5of10\'','\'B2of10\'',7
'\'B2of10\'','\'B6of10\'','\'B1of10\'','\'B8of10\'','\'B7of10\'','\'B1of10\'','\'B4of10\'','\'B2of10\'','\'B1of10\'',7
'\'B2of10\'','\'B5of10\'','\'B1of10\'','\'B8of10\'','\'B7of10\'','\'B1of10\'','\'B4of10\'','\'B3of10\'','\'B1of10\'',7
'\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B7of10\'','\'B7of10\'','\'B1of10\'','\'B4of10\'','\'B3of10\'','\'B1of10\'',7
'\'B2of10\'','\'B6of10\'','\'B1of10\'','\'B8of10\'','\'B6of10\'','\'B1of10\'','\'B4of10\'','\'B3of10\'','\'B1of10\'',7
'\'B3of10\'','\'B7of10\'','\'B1of10\'','\'B7of10\'','\'B6of10\'','\'B1of10\'','\'B4of10\'','\'B2of10\'','\'B1of10\'',7
'\'B2of10\'','\'B7of10\'','\'B1of10\'','\'B7of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B2of10\'','\'B1of10\'',7
'\'B3of10\'','\'B2of10\'','\'B1of10\'','\'B3of10\'','\'B10of10\'','\'B5of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',7
'\'B2of10\'','\'B7of10\'','\'B1of10\'','\'B7of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B2of10\'','\'B1of10\'',7
'\'B3of10\'','\'B7of10\'','\'B1of10\'','\'B6of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'',7
'\'B3of10\'','\'B7of10\'','\'B1of10\'','\'B7of10\'','\'B7of10\'','\'B1of10\'','\'B4of10\'','\'B3of10\'','\'B1of10\'',7
'\'B3of10\'','\'B7of10\'','\'B1of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B5of10\'','\'B1of10\'',7
'\'B3of10\'','\'B7of10\'','\'B1of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'','\'B4of10\'','\'B5of10\'','\'B1of10\'',7
'\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B5of10\'','\'B6of10\'','\'B3of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'',7
'\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B8of10\'','\'B6of10\'','\'B1of10\'','\'B4of10\'','\'B2of10\'','\'B1of10\'',7
'\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B9of10\'','\'B5of10\'','\'B1of10\'','\'B4of10\'','\'B4of10\'','\'B1of10\'',7
'\'B3of10\'','\'B7of10\'','\'B1of10\'','\'B6of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'',7
'\'B5of10\'','\'B6of10\'','\'B1of10\'','\'B6of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'',7
'\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B6of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B5of10\'','\'B1of10\'',7
'\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B6of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'',7
