region-centroid-col,region-centroid-row,region-pixel-count,short-line-density-5,short-line-density-2,vedge-mean,vegde-sd,hedge-mean,hedge-sd,intensity-mean,rawred-mean,rawblue-mean,rawgreen-mean,exred-mean,exblue-mean,exgreen-mean,value-mean,saturation-mean,hue-mean,class
'\'B1of10\'','\'B4of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B1of10\'','\'B9of10\'','\'B3of10\'','\'B4of10\'','\'B2of10\'','\'B4of10\'','\'B3of10\'',brickface
'\'B3of10\'','\'B3of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B4of10\'','\'B4of10\'','\'B5of10\'','\'B4of10\'','\'B5of10\'','\'B6of10\'','\'B2of10\'','\'B5of10\'','\'B4of10\'','\'B2of10\'',cement
'\'B4of10\'','\'B8of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B7of10\'','\'B4of10\'','\'B4of10\'','\'B3of10\'','\'B3of10\'','\'B2of10\'',path
'\'B2of10\'','\'B3of10\'','\'All\'','\'B1of10\'','\'B5of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B6of10\'','\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B7of10\'','\'B1of10\'',foliage
'\'B10of10\'','\'B8of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B4of10\'','\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B6of10\'','\'B5of10\'','\'B4of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'',path
'\'B3of10\'','\'B7of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B4of10\'','\'B4of10\'','\'B5of10\'','\'B4of10\'','\'B7of10\'','\'B5of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B2of10\'',path
'\'B9of10\'','\'B5of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B3of10\'','\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B7of10\'','\'B4of10\'','\'B4of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'',cement
'\'B9of10\'','\'B4of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B8of10\'','\'B3of10\'','\'B5of10\'','\'B1of10\'','\'B7of10\'','\'B2of10\'',window
'\'B3of10\'','\'B1of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B8of10\'','\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B2of10\'','\'B8of10\'','\'B4of10\'','\'B9of10\'','\'B3of10\'','\'B2of10\'',sky
'\'B10of10\'','\'B1of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B9of10\'','\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B3of10\'','\'B7of10\'','\'B4of10\'','\'B9of10\'','\'B3of10\'','\'B2of10\'',sky
'\'B6of10\'','\'B5of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B3of10\'','\'B2of10\'','\'B3of10\'','\'B2of10\'','\'B7of10\'','\'B4of10\'','\'B5of10\'','\'B3of10\'','\'B4of10\'','\'B2of10\'',window
'\'B3of10\'','\'B8of10\'','\'All\'','\'B4of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B7of10\'','\'B2of10\'','\'B8of10\'','\'B2of10\'','\'B4of10\'','\'B10of10\'',grass
'\'B7of10\'','\'B2of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B9of10\'','\'B2of10\'','\'B6of10\'','\'B1of10\'','\'B6of10\'','\'B3of10\'',window
'\'B1of10\'','\'B3of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B2of10\'','\'B2of10\'','\'B6of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'','\'B5of10\'','\'B1of10\'',foliage
'\'B1of10\'','\'B4of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B7of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B9of10\'','\'B2of10\'',foliage
'\'B10of10\'','\'B7of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B3of10\'','\'B2of10\'','\'B3of10\'','\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B4of10\'','\'B4of10\'','\'B4of10\'','\'B2of10\'',path
'\'B4of10\'','\'B2of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B8of10\'','\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B3of10\'','\'B7of10\'','\'B4of10\'','\'B9of10\'','\'B3of10\'','\'B2of10\'',sky
'\'B4of10\'','\'B8of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B4of10\'','\'B6of10\'','\'B4of10\'','\'B5of10\'','\'B7of10\'','\'B2of10\'','\'B6of10\'','\'B3of10\'','\'B2of10\'',path
'\'B6of10\'','\'B3of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B4of10\'','\'B4of10\'','\'B4of10\'','\'B3of10\'','\'B9of10\'','\'B3of10\'','\'B4of10\'','\'B4of10\'','\'B2of10\'','\'B3of10\'',cement
'\'B2of10\'','\'B2of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B5of10\'','\'B6of10\'','\'B6of10\'','\'B2of10\'','\'B6of10\'','\'B3of10\'','\'B2of10\'',cement
'\'B3of10\'','\'B9of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B8of10\'','\'B1of10\'','\'B8of10\'','\'B1of10\'','\'B5of10\'','\'B9of10\'',grass
'\'B8of10\'','\'B6of10\'','\'All\'','\'B4of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B9of10\'','\'B2of10\'','\'B6of10\'','\'B1of10\'','\'B7of10\'','\'B2of10\'',window
'\'B4of10\'','\'B6of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B8of10\'','\'B3of10\'','\'B5of10\'','\'B1of10\'','\'B8of10\'','\'B2of10\'',window
'\'B1of10\'','\'B5of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B2of10\'','\'B5of10\'','\'B1of10\'','\'B6of10\'','\'B4of10\'',brickface
'\'B8of10\'','\'B1of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B7of10\'','\'B3of10\'','\'B5of10\'','\'B2of10\'','\'B6of10\'','\'B2of10\'',window
'\'B2of10\'','\'B4of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B4of10\'','\'B6of10\'','\'B4of10\'','\'B5of10\'','\'B7of10\'','\'B2of10\'','\'B6of10\'','\'B3of10\'','\'B2of10\'',cement
'\'B4of10\'','\'B3of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B4of10\'','\'B4of10\'','\'B4of10\'','\'B3of10\'','\'B7of10\'','\'B4of10\'','\'B4of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'',cement
'\'B2of10\'','\'B2of10\'','\'All\'','\'B4of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B2of10\'','\'B3of10\'','\'B2of10\'','\'B8of10\'','\'B5of10\'','\'B3of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'',brickface
'\'B2of10\'','\'B4of10\'','\'All\'','\'B4of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B2of10\'','\'B6of10\'','\'B3of10\'','\'B2of10\'',cement
'\'B10of10\'','\'B8of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B8of10\'','\'B1of10\'','\'B8of10\'','\'B1of10\'','\'B6of10\'','\'B9of10\'',grass
'\'B4of10\'','\'B3of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B2of10\'','\'B3of10\'','\'B2of10\'','\'B9of10\'','\'B4of10\'','\'B3of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'',brickface
'\'B3of10\'','\'B4of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B8of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B10of10\'','\'B2of10\'',foliage
'\'B8of10\'','\'B6of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B9of10\'','\'B2of10\'','\'B6of10\'','\'B1of10\'','\'B1of10\'','\'B6of10\'',window
'\'B4of10\'','\'B3of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B4of10\'','\'B5of10\'','\'B4of10\'','\'B5of10\'','\'B7of10\'','\'B2of10\'','\'B5of10\'','\'B4of10\'','\'B2of10\'',cement
'\'B1of10\'','\'B6of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B9of10\'','\'B2of10\'','\'B6of10\'','\'B1of10\'','\'B8of10\'','\'B2of10\'',foliage
'\'B6of10\'','\'B1of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B9of10\'','\'B9of10\'','\'B10of10\'','\'B9of10\'','\'B3of10\'','\'B7of10\'','\'B4of10\'','\'B10of10\'','\'B2of10\'','\'B2of10\'',sky
'\'B6of10\'','\'B4of10\'','\'All\'','\'B4of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B9of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'','\'B5of10\'','\'B3of10\'',brickface
'\'B8of10\'','\'B2of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B9of10\'','\'B9of10\'','\'B10of10\'','\'B9of10\'','\'B3of10\'','\'B7of10\'','\'B4of10\'','\'B10of10\'','\'B3of10\'','\'B2of10\'',sky
'\'B10of10\'','\'B6of10\'','\'All\'','\'B4of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B4of10\'','\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B5of10\'','\'B6of10\'','\'B3of10\'','\'B4of10\'','\'B4of10\'','\'B2of10\'',cement
'\'B3of10\'','\'B8of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B5of10\'','\'B4of10\'','\'B5of10\'','\'B4of10\'','\'B5of10\'','\'B6of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B2of10\'',path
'\'B5of10\'','\'B10of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B10of10\'','\'B3of10\'','\'B4of10\'','\'B10of10\'',grass
'\'B1of10\'','\'B10of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B9of10\'','\'B2of10\'','\'B7of10\'','\'B1of10\'','\'B2of10\'','\'B9of10\'',grass
'\'B9of10\'','\'B1of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B8of10\'','\'B7of10\'','\'B9of10\'','\'B7of10\'','\'B2of10\'','\'B9of10\'','\'B2of10\'','\'B9of10\'','\'B3of10\'','\'B2of10\'',sky
'\'B10of10\'','\'B7of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B7of10\'','\'B1of10\'','\'B9of10\'','\'B2of10\'','\'B4of10\'','\'B9of10\'',grass
'\'B8of10\'','\'B7of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B4of10\'','\'B2of10\'','\'B3of10\'','\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B6of10\'','\'B5of10\'','\'B5of10\'','\'B4of10\'','\'B4of10\'','\'B1of10\'',path
'\'B10of10\'','\'B8of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B7of10\'','\'B1of10\'','\'B9of10\'','\'B2of10\'','\'B5of10\'','\'B9of10\'',grass
'\'B8of10\'','\'B8of10\'','\'All\'','\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B4of10\'','\'B4of10\'','\'B5of10\'','\'B4of10\'','\'B6of10\'','\'B6of10\'','\'B3of10\'','\'B5of10\'','\'B4of10\'','\'B2of10\'',path
'\'B8of10\'','\'B1of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B6of10\'','\'B5of10\'','\'B4of10\'','\'B10of10\'','\'B2of10\'','\'B2of10\'',sky
'\'B9of10\'','\'B8of10\'','\'All\'','\'B4of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B7of10\'','\'B1of10\'','\'B9of10\'','\'B2of10\'','\'B5of10\'','\'B10of10\'',grass
'\'B7of10\'','\'B3of10\'','\'All\'','\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B7of10\'','\'B4of10\'','\'B5of10\'','\'B2of10\'','\'B5of10\'','\'B2of10\'',window
'\'B10of10\'','\'B4of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B3of10\'','\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B6of10\'','\'B6of10\'','\'B3of10\'','\'B4of10\'','\'B4of10\'','\'B2of10\'',cement
'\'B6of10\'','\'B1of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B8of10\'','\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B2of10\'','\'B8of10\'','\'B4of10\'','\'B9of10\'','\'B3of10\'','\'B2of10\'',sky
'\'B4of10\'','\'B4of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B8of10\'','\'B7of10\'','\'B8of10\'','\'B7of10\'','\'B2of10\'','\'B8of10\'','\'B3of10\'','\'B8of10\'','\'B3of10\'','\'B2of10\'',sky
'\'B5of10\'','\'B8of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B4of10\'','\'B6of10\'','\'B4of10\'','\'B5of10\'','\'B7of10\'','\'B2of10\'','\'B6of10\'','\'B4of10\'','\'B2of10\'',path
'\'B1of10\'','\'B5of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B8of10\'','\'B2of10\'','\'B6of10\'','\'B1of10\'','\'B10of10\'','\'B2of10\'',foliage
'\'B8of10\'','\'B3of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B7of10\'','\'B6of10\'','\'B8of10\'','\'B6of10\'','\'B2of10\'','\'B9of10\'','\'B1of10\'','\'B8of10\'','\'B4of10\'','\'B2of10\'',sky
'\'B4of10\'','\'B4of10\'','\'All\'','\'B1of10\'','\'B5of10\'','\'B9of10\'','\'B6of10\'','\'B10of10\'','\'B10of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B5of10\'','\'B4of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B4of10\'','\'B2of10\'',foliage
'\'B8of10\'','\'B5of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B2of10\'','\'B5of10\'','\'B1of10\'','\'B6of10\'','\'B4of10\'',brickface
'\'B1of10\'','\'B8of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B4of10\'','\'B4of10\'','\'B5of10\'','\'B4of10\'','\'B5of10\'','\'B6of10\'','\'B2of10\'','\'B5of10\'','\'B4of10\'','\'B2of10\'',path
'\'B9of10\'','\'B5of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B9of10\'','\'B2of10\'','\'B5of10\'','\'B1of10\'','\'B7of10\'','\'B3of10\'',brickface
'\'B8of10\'','\'B10of10\'','\'All\'','\'B4of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B7of10\'','\'B1of10\'','\'B9of10\'','\'B2of10\'','\'B5of10\'','\'B10of10\'',grass
'\'B10of10\'','\'B7of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B7of10\'','\'B4of10\'','\'B4of10\'','\'B3of10\'','\'B3of10\'','\'B2of10\'',path
'\'B4of10\'','\'B4of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B7of10\'','\'B3of10\'','\'B5of10\'','\'B1of10\'','\'B10of10\'','\'B2of10\'',foliage
'\'B5of10\'','\'B8of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B4of10\'','\'B4of10\'','\'B5of10\'','\'B4of10\'','\'B6of10\'','\'B6of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B2of10\'',path
'\'B5of10\'','\'B5of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B4of10\'','\'B6of10\'','\'B6of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B2of10\'',cement
'\'B5of10\'','\'B2of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B2of10\'','\'B3of10\'','\'B2of10\'','\'B8of10\'','\'B5of10\'','\'B3of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'',brickface
'\'B9of10\'','\'B5of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B8of10\'','\'B2of10\'','\'B6of10\'','\'B1of10\'','\'B10of10\'','\'B2of10\'',foliage
'\'B10of10\'','\'B7of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B7of10\'','\'B1of10\'','\'B9of10\'','\'B2of10\'','\'B4of10\'','\'B9of10\'',grass
'\'B2of10\'','\'B2of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B9of10\'','\'B9of10\'','\'B10of10\'','\'B9of10\'','\'B4of10\'','\'B6of10\'','\'B4of10\'','\'B10of10\'','\'B2of10\'','\'B2of10\'',sky
'\'B2of10\'','\'B9of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B8of10\'','\'B1of10\'','\'B9of10\'','\'B2of10\'','\'B5of10\'','\'B9of10\'',grass
'\'B3of10\'','\'B2of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B9of10\'','\'B9of10\'','\'B10of10\'','\'B9of10\'','\'B4of10\'','\'B6of10\'','\'B4of10\'','\'B10of10\'','\'B2of10\'','\'B2of10\'',sky
'\'B4of10\'','\'B3of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B9of10\'','\'B9of10\'','\'B10of10\'','\'B9of10\'','\'B4of10\'','\'B7of10\'','\'B4of10\'','\'B10of10\'','\'B2of10\'','\'B2of10\'',sky
'\'B9of10\'','\'B8of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B4of10\'','\'B4of10\'','\'B4of10\'','\'B3of10\'','\'B6of10\'','\'B5of10\'','\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'',path
'\'B2of10\'','\'B8of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B2of10\'','\'B2of10\'','\'B7of10\'','\'B2of10\'','\'B8of10\'','\'B2of10\'','\'B4of10\'','\'B10of10\'',grass
'\'B3of10\'','\'B1of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B9of10\'','\'B10of10\'','\'B10of10\'','\'B4of10\'','\'B6of10\'','\'B4of10\'','\'B10of10\'','\'B2of10\'','\'B2of10\'',sky
'\'B10of10\'','\'B8of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B8of10\'','\'B1of10\'','\'B8of10\'','\'B1of10\'','\'B6of10\'','\'B9of10\'',grass
'\'B7of10\'','\'B8of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B4of10\'','\'B4of10\'','\'B5of10\'','\'B4of10\'','\'B6of10\'','\'B6of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B2of10\'',path
'\'B7of10\'','\'B5of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B2of10\'','\'B5of10\'','\'B1of10\'','\'B6of10\'','\'B4of10\'',brickface
'\'B4of10\'','\'B6of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B8of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B10of10\'','\'B2of10\'',foliage
'\'B7of10\'','\'B2of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B8of10\'','\'B7of10\'','\'B9of10\'','\'B7of10\'','\'B2of10\'','\'B9of10\'','\'B2of10\'','\'B9of10\'','\'B3of10\'','\'B2of10\'',sky
