normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,symboling
'\'B6of10\'',mitsubishi,gas,std,two,hatchback,fwd,front,'\'B3of10\'','\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B3of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B6of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',2
'\'B6of10\'',mitsubishi,gas,turbo,two,hatchback,fwd,front,'\'B2of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'',ohc,four,'\'B2of10\'',spdi,'\'B4of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B4of10\'','\'B4of10\'','\'B1of10\'',1
'\'B5of10\'',mitsubishi,gas,turbo,two,hatchback,fwd,front,'\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B2of10\'','\'B4of10\'',ohc,four,'\'B2of10\'',spdi,'\'B5of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B3of10\'','\'B4of10\'','\'B2of10\'',3
'\'B5of10\'',mitsubishi,gas,std,two,hatchback,fwd,front,'\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B2of10\'','\'B4of10\'',ohc,four,'\'B3of10\'',2bbl,'\'B6of10\'','\'B7of10\'','\'B1of10\'','\'B2of10\'','\'B4of10\'','\'B4of10\'','\'B5of10\'','\'B1of10\'',3
'\'B3of10\'',mitsubishi,gas,turbo,two,hatchback,fwd,front,'\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B3of10\'','\'B6of10\'',ohc,four,'\'B4of10\'',spdi,'\'B8of10\'','\'B9of10\'','\'B1of10\'','\'B5of10\'','\'B4of10\'','\'B2of10\'','\'B3of10\'','\'B2of10\'',3
'\'B3of10\'',mitsubishi,gas,turbo,two,hatchback,fwd,front,'\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B3of10\'','\'B6of10\'',ohc,four,'\'B4of10\'',spdi,'\'B8of10\'','\'B9of10\'','\'B1of10\'','\'B5of10\'','\'B4of10\'','\'B2of10\'','\'B3of10\'','\'B3of10\'',3
'\'B3of10\'',mitsubishi,gas,turbo,two,hatchback,fwd,front,'\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B3of10\'','\'B6of10\'',ohc,four,'\'B4of10\'',spdi,'\'B8of10\'','\'B9of10\'','\'B1of10\'','\'B5of10\'','\'B4of10\'','\'B2of10\'','\'B3of10\'','\'B3of10\'',3
'\'B4of10\'',mitsubishi,gas,std,four,sedan,fwd,front,'\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B4of10\'','\'B4of10\'',ohc,four,'\'B3of10\'',2bbl,'\'B6of10\'','\'B7of10\'','\'B1of10\'','\'B2of10\'','\'B4of10\'','\'B4of10\'','\'B5of10\'','\'B1of10\'',1
'\'B4of10\'',mitsubishi,gas,std,four,sedan,fwd,front,'\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B4of10\'','\'B4of10\'',ohc,four,'\'B3of10\'',2bbl,'\'B6of10\'','\'B7of10\'','\'B1of10\'','\'B2of10\'','\'B4of10\'','\'B4of10\'','\'B5of10\'','\'B1of10\'',1
'\'B4of10\'',mitsubishi,gas,turbo,four,sedan,fwd,front,'\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B4of10\'','\'B4of10\'',ohc,four,'\'B2of10\'',spdi,'\'B5of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B3of10\'','\'B4of10\'','\'B2of10\'',1
'\'B4of10\'',mitsubishi,gas,std,four,sedan,fwd,front,'\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B4of10\'','\'B4of10\'',ohc,four,'\'B2of10\'',spdi,'\'B5of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B3of10\'','\'B4of10\'','\'B2of10\'',-1
'\'B4of10\'',nissan,gas,std,two,sedan,fwd,front,'\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B5of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',1
'\'B4of10\'',nissan,diesel,std,two,sedan,fwd,front,'\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B6of10\'','\'B3of10\'',ohc,four,'\'B2of10\'',idi,'\'B4of10\'','\'B7of10\'','\'B10of10\'','\'B1of10\'','\'B3of10\'','\'B9of10\'','\'B9of10\'','\'B1of10\'',1
'\'B4of10\'',nissan,gas,std,two,sedan,fwd,front,'\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B5of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',1
'\'B3of10\'',nissan,gas,std,four,sedan,fwd,front,'\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B5of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',1
'\'B2of10\'',nissan,gas,std,four,wagon,fwd,front,'\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B5of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',1
'\'B4of10\'',nissan,gas,std,two,sedan,fwd,front,'\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B5of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',1
'\'B4of10\'',nissan,gas,std,two,hatchback,fwd,front,'\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B5of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',1
'\'B3of10\'',nissan,gas,std,four,sedan,fwd,front,'\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B5of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',1
'\'B2of10\'',nissan,gas,std,four,wagon,fwd,front,'\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B5of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',1
'\'B6of10\'',nissan,gas,std,two,hardtop,fwd,front,'\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B5of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',2
'\'B3of10\'',nissan,gas,std,four,hatchback,fwd,front,'\'B4of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B4of10\'',ohc,four,'\'B3of10\'',2bbl,'\'B6of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B5of10\'','\'B4of10\'','\'B5of10\'','\'B1of10\'',0
'\'B3of10\'',nissan,gas,std,four,sedan,fwd,front,'\'B4of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B4of10\'',ohc,four,'\'B3of10\'',2bbl,'\'B6of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B5of10\'','\'B4of10\'','\'B5of10\'','\'B2of10\'',0
'\'B4of10\'',nissan,gas,std,four,sedan,fwd,front,'\'B5of10\'','\'B7of10\'','\'B6of10\'','\'B7of10\'','\'B7of10\'',ohcv,six,'\'B5of10\'',mpfi,'\'B7of10\'','\'B6of10\'','\'B2of10\'','\'B5of10\'','\'B5of10\'','\'B2of10\'','\'B2of10\'','\'B3of10\'',0
'\'B3of10\'',nissan,gas,std,four,wagon,fwd,front,'\'B5of10\'','\'B7of10\'','\'B6of10\'','\'B7of10\'','\'B8of10\'',ohcv,six,'\'B5of10\'',mpfi,'\'B7of10\'','\'B6of10\'','\'B2of10\'','\'B5of10\'','\'B5of10\'','\'B2of10\'','\'B2of10\'','\'B3of10\'',0
'\'B3of10\'',nissan,gas,std,four,sedan,fwd,front,'\'B5of10\'','\'B7of10\'','\'B6of10\'','\'B7of10\'','\'B7of10\'',ohcv,six,'\'B5of10\'',mpfi,'\'B7of10\'','\'B6of10\'','\'B2of10\'','\'B5of10\'','\'B5of10\'','\'B2of10\'','\'B3of10\'','\'B3of10\'',0
'\'B7of10\'',nissan,gas,std,two,hatchback,rwd,front,'\'B2of10\'','\'B5of10\'','\'B7of10\'','\'B2of10\'','\'B7of10\'',ohcv,six,'\'B5of10\'',mpfi,'\'B7of10\'','\'B6of10\'','\'B2of10\'','\'B5of10\'','\'B5of10\'','\'B2of10\'','\'B3of10\'','\'B3of10\'',3
'\'B7of10\'',nissan,gas,turbo,two,hatchback,rwd,front,'\'B2of10\'','\'B5of10\'','\'B7of10\'','\'B2of10\'','\'B7of10\'',ohcv,six,'\'B5of10\'',mpfi,'\'B7of10\'','\'B6of10\'','\'B1of10\'','\'B7of10\'','\'B5of10\'','\'B2of10\'','\'B2of10\'','\'B4of10\'',3
'\'B9of10\'',nissan,gas,std,two,hatchback,rwd,front,'\'B4of10\'','\'B6of10\'','\'B7of10\'','\'B2of10\'','\'B7of10\'',ohcv,six,'\'B5of10\'',mpfi,'\'B7of10\'','\'B6of10\'','\'B2of10\'','\'B5of10\'','\'B5of10\'','\'B2of10\'','\'B3of10\'','\'B4of10\'',1
'\'B6of10\'',peugot,gas,std,four,sedan,rwd,front,'\'B7of10\'','\'B7of10\'','\'B7of10\'','\'B8of10\'','\'B6of10\'',l,four,'\'B3of10\'',mpfi,'\'B7of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B4of10\'','\'B2of10\'','\'B3of10\'','\'B2of10\'',0
'\'B6of10\'',peugot,diesel,turbo,four,sedan,rwd,front,'\'B7of10\'','\'B7of10\'','\'B7of10\'','\'B8of10\'','\'B7of10\'',l,four,'\'B4of10\'',idi,'\'B9of10\'','\'B7of10\'','\'B9of10\'','\'B2of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B3of10\'',0
'\'B3of10\'',peugot,gas,std,four,wagon,rwd,front,'\'B9of10\'','\'B9of10\'','\'B7of10\'','\'B10of10\'','\'B7of10\'',l,four,'\'B3of10\'',mpfi,'\'B7of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B4of10\'','\'B2of10\'','\'B3of10\'','\'B2of10\'',0
'\'B3of10\'',peugot,diesel,turbo,four,wagon,rwd,front,'\'B9of10\'','\'B9of10\'','\'B7of10\'','\'B10of10\'','\'B8of10\'',l,four,'\'B4of10\'',idi,'\'B9of10\'','\'B7of10\'','\'B9of10\'','\'B2of10\'','\'B1of10\'','\'B4of10\'','\'B3of10\'','\'B3of10\'',0
'\'B6of10\'',peugot,gas,std,four,sedan,rwd,front,'\'B7of10\'','\'B7of10\'','\'B7of10\'','\'B8of10\'','\'B7of10\'',l,four,'\'B3of10\'',mpfi,'\'B7of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B4of10\'','\'B2of10\'','\'B3of10\'','\'B3of10\'',0
'\'B6of10\'',peugot,diesel,turbo,four,sedan,rwd,front,'\'B7of10\'','\'B7of10\'','\'B7of10\'','\'B8of10\'','\'B7of10\'',l,four,'\'B4of10\'',idi,'\'B9of10\'','\'B7of10\'','\'B9of10\'','\'B2of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B3of10\'',0
'\'B3of10\'',peugot,gas,std,four,wagon,rwd,front,'\'B9of10\'','\'B9of10\'','\'B7of10\'','\'B8of10\'','\'B7of10\'',l,four,'\'B3of10\'',mpfi,'\'B7of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B4of10\'','\'B2of10\'','\'B3of10\'','\'B3of10\'',0
'\'B3of10\'',peugot,diesel,turbo,four,wagon,rwd,front,'\'B9of10\'','\'B9of10\'','\'B7of10\'','\'B10of10\'','\'B8of10\'',l,four,'\'B4of10\'',idi,'\'B9of10\'','\'B7of10\'','\'B9of10\'','\'B2of10\'','\'B1of10\'','\'B4of10\'','\'B3of10\'','\'B3of10\'',0
'\'B6of10\'',peugot,gas,std,four,sedan,rwd,front,'\'B7of10\'','\'B7of10\'','\'B7of10\'','\'B8of10\'','\'B7of10\'',l,four,'\'B3of10\'',mpfi,'\'B7of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B4of10\'','\'B2of10\'','\'B3of10\'','\'B3of10\'',0
'\'B6of10\'',peugot,diesel,turbo,four,sedan,rwd,front,'\'B7of10\'','\'B7of10\'','\'B7of10\'','\'B8of10\'','\'B7of10\'',l,four,'\'B4of10\'',idi,'\'B9of10\'','\'B7of10\'','\'B9of10\'','\'B2of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B4of10\'',0
'\'B6of10\'',peugot,gas,turbo,four,sedan,rwd,front,'\'B7of10\'','\'B7of10\'','\'B7of10\'','\'B7of10\'','\'B7of10\'',l,four,'\'B3of10\'',mpfi,'\'B8of10\'','\'B6of10\'','\'B1of10\'','\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B4of10\'',0
'\'B3of10\'',plymouth,gas,std,two,hatchback,fwd,front,'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B6of10\'','\'B7of10\'','\'B7of10\'','\'B1of10\'',1
'\'B3of10\'',plymouth,gas,turbo,two,hatchback,fwd,front,'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'',ohc,four,'\'B2of10\'',spdi,'\'B4of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B4of10\'','\'B4of10\'','\'B1of10\'',1
'\'B5of10\'',plymouth,gas,std,four,hatchback,fwd,front,'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B6of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',1
'\'B5of10\'',plymouth,gas,std,four,sedan,fwd,front,'\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B3of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B6of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',1
'\'B5of10\'',plymouth,gas,std,four,sedan,fwd,front,'\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B6of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',1
'\'B1of10\'',plymouth,gas,std,four,wagon,fwd,front,'\'B5of10\'','\'B5of10\'','\'B4of10\'','\'B10of10\'','\'B5of10\'',ohc,four,'\'B3of10\'',2bbl,'\'B6of10\'','\'B7of10\'','\'B1of10\'','\'B2of10\'','\'B4of10\'','\'B4of10\'','\'B4of10\'','\'B1of10\'',-1
'\'B3of10\'',plymouth,gas,turbo,two,hatchback,rwd,front,'\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B3of10\'','\'B6of10\'',ohc,four,'\'B4of10\'',spdi,'\'B8of10\'','\'B9of10\'','\'B1of10\'','\'B5of10\'','\'B4of10\'','\'B2of10\'','\'B3of10\'','\'B2of10\'',3
'\'B7of10\'',porsche,gas,std,two,hatchback,rwd,front,'\'B3of10\'','\'B5of10\'','\'B7of10\'','\'B3of10\'','\'B6of10\'',ohc,four,'\'B4of10\'',mpfi,'\'B10of10\'','\'B5of10\'','\'B2of10\'','\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B5of10\'',3
'\'B3of10\'',porsche,gas,std,two,hardtop,rwd,rear,'\'B1of10\'','\'B5of10\'','\'B4of10\'','\'B4of10\'','\'B5of10\'',ohcf,six,'\'B6of10\'',mpfi,'\'B9of10\'','\'B4of10\'','\'B2of10\'','\'B7of10\'','\'B8of10\'','\'B2of10\'','\'B3of10\'','\'B7of10\'',3
'\'B3of10\'',porsche,gas,std,two,hardtop,rwd,rear,'\'B1of10\'','\'B5of10\'','\'B4of10\'','\'B4of10\'','\'B5of10\'',ohcf,six,'\'B6of10\'',mpfi,'\'B9of10\'','\'B4of10\'','\'B2of10\'','\'B7of10\'','\'B8of10\'','\'B2of10\'','\'B3of10\'','\'B8of10\'',3
'\'B3of10\'',porsche,gas,std,two,convertible,rwd,rear,'\'B1of10\'','\'B5of10\'','\'B4of10\'','\'B4of10\'','\'B6of10\'',ohcf,six,'\'B6of10\'',mpfi,'\'B9of10\'','\'B4of10\'','\'B2of10\'','\'B7of10\'','\'B8of10\'','\'B2of10\'','\'B3of10\'','\'B8of10\'',3
'\'B3of10\'',porsche,gas,std,two,hatchback,rwd,front,'\'B4of10\'','\'B6of10\'','\'B10of10\'','\'B3of10\'','\'B8of10\'',dohcv,eight,'\'B6of10\'',mpfi,'\'B10of10\'','\'B5of10\'','\'B2of10\'','\'B10of10\'','\'B7of10\'','\'B2of10\'','\'B4of10\'','\'B3of10\'',1
'\'B3of10\'',renault,gas,std,four,wagon,fwd,front,'\'B3of10\'','\'B7of10\'','\'B6of10\'','\'B7of10\'','\'B5of10\'',ohc,four,'\'B3of10\'',mpfi,'\'B7of10\'','\'B9of10\'','\'B2of10\'','\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B4of10\'','\'B2of10\'',0
'\'B3of10\'',renault,gas,std,two,hatchback,fwd,front,'\'B3of10\'','\'B6of10\'','\'B6of10\'','\'B3of10\'','\'B4of10\'',ohc,four,'\'B3of10\'',mpfi,'\'B7of10\'','\'B9of10\'','\'B2of10\'','\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B4of10\'','\'B2of10\'',2
'\'B5of10\'',saab,gas,std,two,hatchback,fwd,front,'\'B4of10\'','\'B7of10\'','\'B6of10\'','\'B7of10\'','\'B5of10\'',ohc,four,'\'B3of10\'',mpfi,'\'B8of10\'','\'B5of10\'','\'B2of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B4of10\'','\'B2of10\'',3
'\'B3of10\'',saab,gas,std,four,sedan,fwd,front,'\'B4of10\'','\'B7of10\'','\'B6of10\'','\'B7of10\'','\'B5of10\'',ohc,four,'\'B3of10\'',mpfi,'\'B8of10\'','\'B5of10\'','\'B2of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B4of10\'','\'B2of10\'',2
'\'B5of10\'',saab,gas,std,two,hatchback,fwd,front,'\'B4of10\'','\'B7of10\'','\'B6of10\'','\'B7of10\'','\'B5of10\'',ohc,four,'\'B3of10\'',mpfi,'\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B4of10\'','\'B3of10\'',3
'\'B3of10\'',saab,gas,std,four,sedan,fwd,front,'\'B4of10\'','\'B7of10\'','\'B6of10\'','\'B7of10\'','\'B5of10\'',ohc,four,'\'B3of10\'',mpfi,'\'B8of10\'','\'B5of10\'','\'B2of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B4of10\'','\'B3of10\'',2
'\'B5of10\'',saab,gas,turbo,two,hatchback,fwd,front,'\'B4of10\'','\'B7of10\'','\'B6of10\'','\'B7of10\'','\'B6of10\'',dohc,four,'\'B3of10\'',mpfi,'\'B8of10\'','\'B5of10\'','\'B2of10\'','\'B5of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B4of10\'',3
'\'B3of10\'',saab,gas,turbo,four,sedan,fwd,front,'\'B4of10\'','\'B7of10\'','\'B6of10\'','\'B7of10\'','\'B6of10\'',dohc,four,'\'B3of10\'',mpfi,'\'B8of10\'','\'B5of10\'','\'B2of10\'','\'B5of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B4of10\'',2
'\'B1of10\'',subaru,gas,std,two,hatchback,fwd,front,'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'',ohcf,four,'\'B2of10\'',2bbl,'\'B8of10\'','\'B2of10\'','\'B2of10\'','\'B1of10\'','\'B4of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',2
'\'B1of10\'',subaru,gas,std,two,hatchback,fwd,front,'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B5of10\'','\'B3of10\'',ohcf,four,'\'B2of10\'',2bbl,'\'B8of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B4of10\'','\'B4of10\'','\'B1of10\'',2
'\'B1of10\'',subaru,gas,std,two,hatchback,4wd,front,'\'B2of10\'','\'B3of10\'','\'B3of10\'','\'B7of10\'','\'B3of10\'',ohcf,four,'\'B2of10\'',2bbl,'\'B8of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B4of10\'','\'B4of10\'','\'B1of10\'',2
'\'B2of10\'',subaru,gas,std,four,sedan,fwd,front,'\'B4of10\'','\'B5of10\'','\'B5of10\'','\'B4of10\'','\'B3of10\'',ohcf,four,'\'B2of10\'',2bbl,'\'B8of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B3of10\'','\'B6of10\'','\'B6of10\'','\'B1of10\'',0
'\'B2of10\'',subaru,gas,std,four,sedan,fwd,front,'\'B4of10\'','\'B5of10\'','\'B5of10\'','\'B4of10\'','\'B3of10\'',ohcf,four,'\'B2of10\'',2bbl,'\'B8of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B2of10\'','\'B5of10\'','\'B5of10\'','\'B1of10\'',0
'\'B2of10\'',subaru,gas,std,four,sedan,fwd,front,'\'B4of10\'','\'B5of10\'','\'B5of10\'','\'B4of10\'','\'B4of10\'',ohcf,four,'\'B2of10\'',mpfi,'\'B8of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B5of10\'','\'B4of10\'','\'B5of10\'','\'B2of10\'',0
'\'B2of10\'',subaru,gas,std,four,sedan,4wd,front,'\'B4of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B4of10\'',ohcf,four,'\'B2of10\'',2bbl,'\'B8of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B2of10\'',0
'\'B2of10\'',subaru,gas,turbo,four,sedan,4wd,front,'\'B4of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B4of10\'',ohcf,four,'\'B2of10\'',mpfi,'\'B8of10\'','\'B3of10\'','\'B1of10\'','\'B3of10\'','\'B3of10\'','\'B4of10\'','\'B4of10\'','\'B2of10\'',0
'\'B2of10\'',subaru,gas,std,four,wagon,fwd,front,'\'B4of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B4of10\'',ohcf,four,'\'B2of10\'',2bbl,'\'B8of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B1of10\'',0
'\'B2of10\'',subaru,gas,std,four,wagon,fwd,front,'\'B4of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B4of10\'',ohcf,four,'\'B2of10\'',mpfi,'\'B8of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B5of10\'','\'B4of10\'','\'B4of10\'','\'B2of10\'',0
'\'B2of10\'',subaru,gas,std,four,wagon,4wd,front,'\'B4of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B4of10\'',ohcf,four,'\'B2of10\'',2bbl,'\'B8of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B3of10\'','\'B3of10\'','\'B4of10\'','\'B1of10\'',0
'\'B2of10\'',subaru,gas,turbo,four,wagon,4wd,front,'\'B4of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B5of10\'',ohcf,four,'\'B2of10\'',mpfi,'\'B8of10\'','\'B3of10\'','\'B1of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'',0
'\'B2of10\'',toyota,gas,std,two,hatchback,fwd,front,'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B5of10\'','\'B2of10\'','\'B1of10\'','\'B3of10\'','\'B7of10\'','\'B7of10\'','\'B1of10\'',1
'\'B2of10\'',toyota,gas,std,two,hatchback,fwd,front,'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B6of10\'','\'B3of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B5of10\'','\'B2of10\'','\'B1of10\'','\'B3of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',1
'\'B1of10\'',toyota,gas,std,four,hatchback,fwd,front,'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B6of10\'','\'B3of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B5of10\'','\'B2of10\'','\'B1of10\'','\'B3of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',1
'\'B1of10\'',toyota,gas,std,four,wagon,fwd,front,'\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B10of10\'','\'B4of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B5of10\'','\'B2of10\'','\'B1of10\'','\'B3of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',0
'\'B1of10\'',toyota,gas,std,four,wagon,4wd,front,'\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B10of10\'','\'B4of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B5of10\'','\'B2of10\'','\'B1of10\'','\'B3of10\'','\'B4of10\'','\'B5of10\'','\'B1of10\'',0
'\'B2of10\'',toyota,gas,std,four,wagon,4wd,front,'\'B3of10\'','\'B5of10\'','\'B3of10\'','\'B10of10\'','\'B7of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B5of10\'','\'B2of10\'','\'B1of10\'','\'B3of10\'','\'B4of10\'','\'B5of10\'','\'B1of10\'',0
'\'B2of10\'',toyota,gas,std,four,sedan,fwd,front,'\'B3of10\'','\'B4of10\'','\'B4of10\'','\'B5of10\'','\'B3of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B5of10\'','\'B5of10\'','\'B2of10\'','\'B1of10\'','\'B3of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',0
