a01,a02,a03,a04,a05,a06,a07,a08,a09,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,class
'\'B1of10\'','\'All\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'',b
'\'B10of10\'','\'All\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B3of10\'','\'B10of10\'','\'B3of10\'','\'B10of10\'','\'B3of10\'','\'B9of10\'','\'B3of10\'','\'B9of10\'','\'B3of10\'',g
'\'B10of10\'','\'All\'','\'B10of10\'','\'B5of10\'','\'B1of10\'','\'B7of10\'','\'B4of10\'','\'B7of10\'','\'B9of10\'','\'B2of10\'','\'B10of10\'','\'B5of10\'','\'B4of10\'','\'B5of10\'','\'B3of10\'','\'B6of10\'','\'B10of10\'','\'B3of10\'','\'B10of10\'','\'B3of10\'','\'B4of10\'','\'B4of10\'','\'B2of10\'','\'B7of10\'','\'B10of10\'','\'B3of10\'','\'B8of10\'','\'B3of10\'','\'B10of10\'','\'B2of10\'','\'B5of10\'','\'B7of10\'','\'B5of10\'','\'B8of10\'',b
'\'B10of10\'','\'All\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B9of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B4of10\'','\'B9of10\'','\'B4of10\'','\'B9of10\'','\'B4of10\'','\'B9of10\'','\'B4of10\'',g
'\'B10of10\'','\'All\'','\'B5of10\'','\'B5of10\'','\'B10of10\'','\'B8of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B1of10\'','\'B4of10\'','\'B3of10\'','\'B1of10\'','\'B9of10\'','\'B9of10\'','\'B5of10\'','\'B5of10\'','\'B8of10\'','\'B7of10\'','\'B1of10\'','\'B8of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'',b
'\'B10of10\'','\'All\'','\'B10of10\'','\'B5of10\'','\'B8of10\'','\'B6of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B8of10\'','\'B10of10\'','\'B3of10\'','\'B9of10\'','\'B4of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B10of10\'','\'B8of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B9of10\'','\'B4of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B5of10\'',g
'\'B1of10\'','\'All\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B5of10\'','\'B5of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'',b
'\'B10of10\'','\'All\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B9of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B7of10\'',g
'\'B10of10\'','\'All\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B9of10\'','\'B6of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B7of10\'',b
'\'B10of10\'','\'All\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B3of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B3of10\'',g
'\'B10of10\'','\'All\'','\'B6of10\'','\'B4of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B9of10\'','\'B8of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B5of10\'','\'B8of10\'','\'B3of10\'','\'B3of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B7of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B9of10\'',b
'\'B10of10\'','\'All\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B8of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B4of10\'','\'B9of10\'','\'B4of10\'','\'B9of10\'','\'B4of10\'',g
'\'B1of10\'','\'All\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B5of10\'','\'B5of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B5of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B5of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',b
'\'B10of10\'','\'All\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B7of10\'','\'B9of10\'','\'B7of10\'','\'B10of10\'','\'B7of10\'',g
'\'B10of10\'','\'All\'','\'B6of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B1of10\'','\'B10of10\'','\'B5of10\'','\'B5of10\'','\'B2of10\'','\'B2of10\'','\'B10of10\'','\'B7of10\'','\'B8of10\'','\'B6of10\'','\'B5of10\'','\'B5of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B9of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'',b
'\'B10of10\'','\'All\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B7of10\'','\'B9of10\'','\'B7of10\'','\'B9of10\'','\'B7of10\'','\'B9of10\'','\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B8of10\'','\'B8of10\'','\'B8of10\'','\'B8of10\'',g
'\'B10of10\'','\'All\'','\'B6of10\'','\'B4of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B3of10\'','\'B7of10\'','\'B10of10\'','\'B10of10\'','\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B10of10\'','\'B2of10\'','\'B1of10\'','\'B6of10\'','\'B5of10\'','\'B5of10\'','\'B10of10\'','\'B4of10\'',b
'\'B10of10\'','\'All\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B8of10\'','\'B10of10\'','\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B8of10\'','\'B8of10\'','\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B8of10\'','\'B8of10\'','\'B9of10\'','\'B7of10\'','\'B9of10\'','\'B7of10\'','\'B9of10\'','\'B7of10\'','\'B9of10\'',g
'\'B10of10\'','\'All\'','\'B9of10\'','\'B10of10\'','\'B7of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B7of10\'','\'B2of10\'','\'B10of10\'','\'B5of10\'','\'B8of10\'','\'B6of10\'','\'B6of10\'','\'B3of10\'','\'B1of10\'','\'B6of10\'','\'B5of10\'','\'B7of10\'','\'B3of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B10of10\'','\'B7of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'',b
'\'B10of10\'','\'All\'','\'B10of10\'','\'B3of10\'','\'B10of10\'','\'B9of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B8of10\'','\'B9of10\'','\'B5of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B3of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B4of10\'','\'B8of10\'','\'B6of10\'','\'B8of10\'','\'B5of10\'',g
'\'B10of10\'','\'All\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B1of10\'','\'B9of10\'','\'B6of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B9of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B6of10\'','\'B8of10\'','\'B3of10\'','\'B10of10\'','\'B9of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B6of10\'','\'B7of10\'','\'B5of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B7of10\'',b
'\'B10of10\'','\'All\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B5of10\'',g
'\'B1of10\'','\'All\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B9of10\'','\'B5of10\'','\'B5of10\'','\'B10of10\'','\'B1of10\'',b
'\'B10of10\'','\'All\'','\'B10of10\'','\'B9of10\'','\'B10of10\'','\'B10of10\'','\'B8of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B3of10\'','\'B10of10\'','\'B2of10\'','\'B9of10\'','\'B1of10\'','\'B8of10\'','\'B4of10\'','\'B3of10\'','\'B1of10\'','\'B3of10\'','\'B2of10\'','\'B2of10\'','\'B4of10\'','\'B1of10\'','\'B8of10\'','\'B1of10\'','\'B8of10\'','\'B1of10\'','\'B7of10\'','\'B1of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B6of10\'',g
'\'B10of10\'','\'All\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B8of10\'','\'B5of10\'','\'B5of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'',b
'\'B10of10\'','\'All\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B9of10\'','\'B10of10\'','\'B8of10\'','\'B10of10\'','\'B9of10\'','\'B10of10\'','\'B8of10\'','\'B10of10\'','\'B9of10\'','\'B10of10\'','\'B9of10\'','\'B10of10\'','\'B9of10\'','\'B9of10\'','\'B10of10\'','\'B9of10\'','\'B9of10\'',g
'\'B1of10\'','\'All\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B2of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B10of10\'','\'B1of10\'',b
'\'B10of10\'','\'All\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B8of10\'','\'B10of10\'','\'B8of10\'','\'B10of10\'','\'B8of10\'','\'B9of10\'','\'B9of10\'','\'B9of10\'','\'B9of10\'','\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B9of10\'','\'B7of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'',g
'\'B10of10\'','\'All\'','\'B9of10\'','\'B7of10\'','\'B5of10\'','\'B5of10\'','\'B4of10\'','\'B9of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B7of10\'','\'B4of10\'','\'B7of10\'','\'B6of10\'','\'B8of10\'','\'B9of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B9of10\'','\'B7of10\'','\'B9of10\'','\'B9of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'',b
'\'B10of10\'','\'All\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B8of10\'','\'B10of10\'','\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B10of10\'','\'B8of10\'','\'B9of10\'','\'B9of10\'','\'B9of10\'','\'B9of10\'','\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B9of10\'','\'B7of10\'','\'B9of10\'',g
'\'B1of10\'','\'All\'','\'B10of10\'','\'B10of10\'','\'B5of10\'','\'B5of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B5of10\'','\'B5of10\'','\'B10of10\'','\'B1of10\'',b
'\'B10of10\'','\'All\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B9of10\'',g
'\'B1of10\'','\'All\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'',b
'\'B10of10\'','\'All\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B8of10\'','\'B10of10\'','\'B9of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B9of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B9of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B9of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'',g
'\'B1of10\'','\'All\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B5of10\'','\'B5of10\'','\'B10of10\'','\'B10of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'',b
'\'B10of10\'','\'All\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B9of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B3of10\'','\'B10of10\'','\'B5of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B2of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B3of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B2of10\'','\'B10of10\'','\'B3of10\'',g
'\'B1of10\'','\'All\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'',b
'\'B10of10\'','\'All\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B7of10\'','\'B10of10\'','\'B7of10\'','\'B9of10\'','\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B9of10\'','\'B8of10\'','\'B9of10\'','\'B9of10\'','\'B8of10\'','\'B9of10\'','\'B7of10\'','\'B9of10\'','\'B7of10\'','\'B9of10\'','\'B7of10\'','\'B9of10\'','\'B6of10\'','\'B9of10\'','\'B6of10\'','\'B9of10\'','\'B6of10\'','\'B9of10\'','\'B5of10\'','\'B9of10\'',g
'\'B10of10\'','\'All\'','\'B9of10\'','\'B5of10\'','\'B10of10\'','\'B7of10\'','\'B8of10\'','\'B7of10\'','\'B7of10\'','\'B8of10\'','\'B10of10\'','\'B5of10\'','\'B6of10\'','\'B8of10\'','\'B6of10\'','\'B7of10\'','\'B6of10\'','\'B8of10\'','\'B6of10\'','\'B7of10\'','\'B6of10\'','\'B7of10\'','\'B5of10\'','\'B7of10\'','\'B5of10\'','\'B6of10\'','\'B5of10\'','\'B6of10\'','\'B5of10\'','\'B6of10\'','\'B5of10\'','\'B6of10\'','\'B5of10\'','\'B6of10\'',b
'\'B10of10\'','\'All\'','\'B9of10\'','\'B5of10\'','\'B9of10\'','\'B5of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B6of10\'','\'B9of10\'','\'B6of10\'','\'B9of10\'','\'B6of10\'','\'B9of10\'','\'B6of10\'','\'B9of10\'','\'B4of10\'','\'B9of10\'','\'B5of10\'','\'B9of10\'','\'B6of10\'','\'B7of10\'','\'B5of10\'','\'B9of10\'','\'B6of10\'','\'B9of10\'','\'B5of10\'','\'B8of10\'','\'B4of10\'','\'B8of10\'','\'B5of10\'','\'B8of10\'','\'B6of10\'',g
'\'B10of10\'','\'All\'','\'B7of10\'','\'B5of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B10of10\'','\'B7of10\'','\'B6of10\'','\'B8of10\'','\'B6of10\'','\'B9of10\'','\'B1of10\'','\'B8of10\'','\'B9of10\'','\'B9of10\'','\'B5of10\'','\'B8of10\'','\'B5of10\'','\'B9of10\'','\'B6of10\'','\'B10of10\'','\'B8of10\'','\'B8of10\'','\'B6of10\'','\'B8of10\'','\'B6of10\'','\'B7of10\'','\'B5of10\'','\'B7of10\'','\'B6of10\'','\'B7of10\'','\'B6of10\'',b
'\'B10of10\'','\'All\'','\'B9of10\'','\'B6of10\'','\'B9of10\'','\'B5of10\'','\'B9of10\'','\'B6of10\'','\'B9of10\'','\'B5of10\'','\'B9of10\'','\'B6of10\'','\'B9of10\'','\'B5of10\'','\'B9of10\'','\'B5of10\'','\'B9of10\'','\'B6of10\'','\'B9of10\'','\'B5of10\'','\'B9of10\'','\'B4of10\'','\'B9of10\'','\'B5of10\'','\'B10of10\'','\'B5of10\'','\'B9of10\'','\'B5of10\'','\'B9of10\'','\'B6of10\'','\'B10of10\'','\'B6of10\'','\'B9of10\'','\'B6of10\'',g
'\'B10of10\'','\'All\'','\'B9of10\'','\'B5of10\'','\'B10of10\'','\'B6of10\'','\'B10of10\'','\'B9of10\'','\'B9of10\'','\'B5of10\'','\'B8of10\'','\'B5of10\'','\'B10of10\'','\'B6of10\'','\'B8of10\'','\'B10of10\'','\'B8of10\'','\'B7of10\'','\'B9of10\'','\'B6of10\'','\'B10of10\'','\'B4of10\'','\'B10of10\'','\'B1of10\'','\'B8of10\'','\'B7of10\'','\'B8of10\'','\'B6of10\'','\'B8of10\'','\'B6of10\'','\'B8of10\'','\'B6of10\'','\'B10of10\'','\'B10of10\'',b
'\'B10of10\'','\'All\'','\'B8of10\'','\'B5of10\'','\'B8of10\'','\'B5of10\'','\'B7of10\'','\'B6of10\'','\'B7of10\'','\'B5of10\'','\'B8of10\'','\'B6of10\'','\'B8of10\'','\'B6of10\'','\'B8of10\'','\'B5of10\'','\'B8of10\'','\'B6of10\'','\'B8of10\'','\'B5of10\'','\'B8of10\'','\'B6of10\'','\'B8of10\'','\'B6of10\'','\'B8of10\'','\'B6of10\'','\'B8of10\'','\'B6of10\'','\'B8of10\'','\'B6of10\'','\'B8of10\'','\'B7of10\'','\'B8of10\'','\'B6of10\'',g
'\'B10of10\'','\'All\'','\'B8of10\'','\'B6of10\'','\'B7of10\'','\'B6of10\'','\'B7of10\'','\'B7of10\'','\'B5of10\'','\'B8of10\'','\'B6of10\'','\'B7of10\'','\'B5of10\'','\'B7of10\'','\'B5of10\'','\'B7of10\'','\'B6of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B4of10\'','\'B6of10\'','\'B5of10\'','\'B7of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B5of10\'',b
