x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,class
2,1,2,1,1,5,7,2,2,5,8,6,1,8,1,6,Y
4,4,5,6,6,6,6,5,2,5,5,6,4,7,4,3,Y
4,5,6,4,3,6,5,2,4,7,2,4,4,6,1,5,N
1,6,1,4,1,5,5,3,3,5,4,6,1,6,1,6,I
4,7,4,4,2,4,7,2,4,9,4,4,2,6,4,4,F
3,4,5,4,4,5,7,4,4,6,5,6,4,6,5,6,B
4,8,6,6,5,7,5,2,4,7,2,5,4,6,4,6,H
4,6,4,3,2,8,2,2,3,7,2,6,2,6,4,8,Q
3,7,4,6,2,2,3,2,7,2,1,5,1,5,1,4,L
3,6,4,4,4,5,5,4,6,5,5,6,2,6,4,6,E
3,8,3,6,4,6,5,8,1,4,4,5,4,6,1,6,N
3,5,4,4,3,6,5,3,4,6,3,5,2,5,4,8,R
3,6,4,5,3,4,5,4,4,6,6,7,2,6,3,6,G
4,8,4,5,2,7,2,2,3,8,3,8,2,6,3,7,L
6,8,6,6,4,4,6,2,4,7,6,6,2,6,4,4,S
5,6,4,4,2,3,5,4,2,6,8,4,3,7,2,3,Y
2,1,2,1,1,4,5,4,6,5,4,8,1,6,5,6,E
4,5,4,4,4,4,5,5,4,5,4,6,2,6,4,7,T
2,4,4,3,2,7,4,3,4,10,4,8,1,4,1,5,J
2,6,2,4,1,1,10,4,2,8,7,4,1,6,2,4,F
3,6,4,4,2,5,5,3,10,6,4,6,1,6,6,6,Z
4,6,4,3,2,4,8,4,2,8,5,3,2,8,2,5,V
2,2,2,1,1,6,2,2,1,5,2,6,2,4,2,5,A
2,2,1,3,1,5,5,1,6,5,4,6,1,6,2,6,I
2,5,3,4,2,4,8,2,2,6,8,6,2,8,1,6,V
2,5,3,4,2,6,8,2,2,4,7,6,2,8,1,6,V
2,3,2,2,2,5,6,4,4,5,4,4,2,6,4,6,B
5,6,5,5,3,3,5,4,5,8,6,10,2,7,3,5,C
5,10,5,6,4,6,4,4,4,4,4,5,4,5,2,4,U
2,5,2,4,2,5,5,2,8,6,4,6,1,6,5,6,Z
7,9,6,5,4,5,5,4,4,6,3,6,5,4,5,8,R
6,8,8,6,5,6,4,2,4,7,4,6,2,6,2,6,H
3,4,3,4,3,6,4,4,2,6,4,6,2,6,3,6,Q
2,4,3,4,2,6,7,4,2,4,6,8,2,7,4,6,Q
4,6,4,4,2,4,6,1,6,6,6,4,1,7,2,3,Y
4,7,5,6,3,6,2,2,2,6,1,6,2,5,3,6,A
3,4,4,3,2,6,6,3,4,6,4,4,2,6,5,5,B
2,3,3,2,1,6,4,2,5,10,4,8,1,5,1,6,J
2,2,3,1,2,5,5,2,5,8,5,6,1,6,3,6,E
3,4,4,3,2,3,5,4,6,5,4,9,2,6,4,6,K
2,5,3,6,4,6,5,6,2,4,4,6,2,6,4,7,Q
2,6,3,4,3,4,6,5,4,4,3,6,2,4,4,6,R
6,10,6,6,4,3,6,1,2,6,6,6,7,8,2,4,W
4,6,5,4,3,4,5,4,4,4,4,6,3,5,3,6,G
2,4,3,2,2,4,8,2,5,8,6,4,1,8,2,4,T
2,4,2,2,1,3,2,2,5,2,2,4,1,5,1,4,L
2,3,3,4,2,5,4,5,5,4,4,7,1,6,4,8,G
2,4,3,3,1,3,6,6,1,5,4,8,2,6,2,8,K
3,6,4,5,4,5,6,2,6,5,4,6,2,7,9,4,Z
3,6,4,5,4,6,6,5,2,4,4,8,3,5,6,6,E
3,7,4,5,3,6,4,2,5,7,4,6,2,6,3,6,S
2,6,3,4,1,5,5,3,3,5,4,6,2,6,3,6,X
4,8,6,6,7,5,7,4,3,5,5,6,4,6,4,6,M
2,3,3,2,2,5,5,2,6,4,4,7,2,6,4,5,X
2,6,3,4,2,4,6,6,5,7,6,8,2,8,3,7,C
3,7,4,6,6,5,5,3,4,5,5,6,4,6,4,5,T
2,4,3,3,1,5,4,2,1,4,1,6,2,5,1,5,A
4,6,5,4,6,6,4,4,3,5,5,6,5,6,5,6,B
3,5,4,4,3,2,6,2,4,7,6,8,2,6,2,4,K
2,3,4,2,2,5,5,2,5,7,4,6,3,6,3,5,K
5,8,4,5,3,6,6,2,5,8,4,4,2,6,4,5,T
8,10,8,6,5,6,6,2,3,4,6,4,8,6,2,4,W
2,5,4,4,2,6,6,4,4,6,4,6,2,5,4,7,R
4,6,6,4,7,4,6,3,2,5,3,6,10,2,3,5,M
3,6,4,5,3,6,4,9,3,5,8,6,2,6,1,6,U
1,1,2,1,1,5,4,6,1,5,6,6,4,4,1,6,M
4,8,4,6,3,1,9,4,3,8,7,4,1,6,2,4,F
2,5,4,4,2,5,3,1,5,6,2,6,1,4,2,6,L
1,4,1,3,1,5,5,1,4,5,4,6,1,6,2,6,I
5,8,6,6,6,4,5,5,4,5,5,4,3,5,3,6,D
4,6,4,4,2,2,8,3,4,9,8,4,1,8,1,4,Y
2,3,3,4,2,6,4,10,4,4,9,6,2,6,1,6,U
4,7,6,6,5,7,6,4,4,5,4,6,3,6,7,5,Z
5,8,6,6,3,3,6,5,6,7,6,6,2,6,2,4,U
2,5,3,4,2,7,4,2,5,8,2,4,2,6,2,6,D
6,10,6,6,4,5,3,3,4,8,6,8,3,6,4,7,L
1,8,1,6,1,5,5,4,2,5,4,6,1,6,1,6,I
3,6,4,5,3,5,4,6,3,5,4,6,2,6,2,6,O
4,8,5,6,5,6,5,3,4,7,3,4,2,6,2,6,D
2,1,2,2,2,5,5,4,4,5,4,4,2,6,2,5,D
7,8,6,4,3,6,8,4,4,2,4,7,4,6,2,5,N
4,6,6,6,8,5,5,4,3,6,4,6,5,6,6,5,B
1,1,1,1,1,5,5,2,3,5,4,6,2,6,2,6,X
2,2,2,2,2,5,6,3,2,5,6,7,2,6,3,6,Q
4,7,4,6,4,4,7,2,5,7,6,4,3,7,3,5,P
4,7,6,6,5,4,6,3,6,8,7,6,2,6,4,3,E
3,5,4,7,6,6,5,4,2,5,5,6,5,7,4,3,Y
3,6,4,5,4,6,4,4,3,5,5,6,6,4,2,5,M
3,7,4,6,3,5,5,8,2,5,6,6,6,4,1,6,M
1,1,1,1,1,5,5,4,3,5,4,5,1,6,4,6,B
3,4,4,4,3,5,5,3,4,5,4,6,2,6,5,7,L
4,6,6,4,3,7,6,2,4,7,2,3,4,6,1,5,N
2,1,2,2,2,4,7,2,2,6,6,6,4,8,1,6,W
2,6,3,4,2,5,3,1,6,6,2,8,1,5,2,6,L
6,8,5,4,3,6,6,4,4,4,7,4,4,9,2,5,V
4,7,4,4,2,7,2,1,2,6,2,6,4,3,1,6,M
5,8,4,4,3,7,4,3,5,8,3,6,2,6,6,8,Q
3,4,4,4,4,5,4,4,3,4,4,6,5,6,5,6,V
5,7,5,6,4,4,5,4,5,8,6,9,3,6,4,4,C
4,9,5,5,3,6,5,2,5,8,3,4,3,7,3,6,X
2,1,2,2,2,5,5,4,4,5,4,4,2,6,2,5,D
6,9,6,5,3,6,5,4,4,8,2,4,4,6,3,6,P
2,4,3,2,2,5,5,2,6,8,5,6,2,6,3,6,E
5,6,6,6,6,4,6,2,4,5,6,7,6,6,3,6,A
2,5,4,4,2,4,2,2,6,5,2,7,1,5,2,6,L
2,4,3,3,2,5,8,3,2,8,3,2,1,7,2,6,P
2,6,3,4,2,6,5,6,4,6,4,5,2,6,6,6,S
1,3,1,2,1,6,5,1,5,9,4,6,1,6,1,6,I
4,6,4,6,5,5,4,3,3,4,5,6,5,6,2,5,U
5,7,6,5,5,4,5,5,5,6,7,6,2,6,4,6,T
3,5,3,4,2,5,4,4,6,4,5,8,1,6,6,6,S
2,5,4,4,4,6,4,4,2,5,4,6,4,7,6,5,B
4,4,4,6,3,5,5,9,2,5,6,6,6,4,1,6,M
4,6,6,5,4,5,6,2,4,8,5,4,2,6,2,5,F
3,6,4,4,2,4,6,4,4,6,6,10,2,7,3,7,C
2,3,3,2,2,6,4,3,4,7,3,4,2,6,2,6,D
2,6,4,4,3,5,5,2,6,4,4,6,2,6,4,6,X
2,6,3,4,2,6,5,1,5,8,4,6,1,4,1,4,J
2,2,3,2,2,6,5,3,4,6,3,5,2,5,3,7,R
1,2,2,1,2,5,5,4,4,5,4,6,2,6,4,7,E
3,6,4,7,4,7,8,4,2,2,6,8,2,7,4,7,Q
2,4,2,2,1,3,3,3,5,2,2,4,1,5,1,4,L
3,4,3,3,3,5,5,4,6,5,5,6,2,6,4,6,E
5,4,4,6,3,5,8,2,2,6,7,4,2,6,4,5,Y
2,2,2,4,1,1,1,4,4,1,1,5,1,6,1,6,L
2,3,2,2,1,4,7,3,4,7,6,3,1,7,2,4,F
3,6,4,4,2,6,5,3,3,5,4,6,2,6,3,6,X
3,4,3,3,2,4,8,3,4,8,6,3,2,8,1,4,T
3,7,3,5,2,3,6,6,2,4,2,8,3,6,2,8,K
4,7,4,6,5,5,6,6,4,6,4,5,2,6,6,6,B
3,5,4,4,3,6,4,2,6,8,4,6,2,6,4,7,E
2,4,4,3,3,6,5,2,4,6,3,4,2,5,3,7,R
2,4,3,6,6,6,6,4,1,6,5,4,4,7,2,5,P
4,8,5,4,3,5,6,2,5,8,5,5,3,7,3,4,X
4,7,6,6,4,4,6,2,5,7,6,7,2,6,2,6,K
3,6,4,4,4,5,5,4,2,5,4,8,3,6,6,6,E
2,6,4,4,1,4,8,2,2,6,8,6,1,7,1,6,Y
3,4,3,6,2,2,6,4,8,5,4,10,1,6,5,5,E
2,3,3,4,2,5,3,2,1,5,1,6,2,5,2,6,A
3,5,5,4,2,7,4,1,6,7,2,5,2,6,2,6,X
3,5,4,4,2,6,2,2,2,4,2,6,2,4,2,4,A
4,8,4,4,3,4,5,2,6,8,5,6,2,5,4,4,Z
3,2,3,3,2,5,5,10,1,5,4,6,2,6,1,6,H
3,4,4,4,4,6,6,2,3,5,6,6,4,6,3,4,A
4,7,4,4,3,6,4,3,4,7,4,6,2,6,6,6,Q
3,4,3,3,2,6,4,5,4,7,3,7,2,6,3,5,O
2,1,2,2,2,5,4,4,3,4,5,6,4,4,1,6,M
3,4,3,6,2,1,8,4,3,8,7,5,1,6,2,4,F
3,4,4,4,4,5,6,2,3,5,5,6,5,5,2,6,A
4,8,4,4,3,4,6,4,4,6,4,5,4,7,4,4,D
4,8,4,6,2,5,6,10,1,5,2,6,2,6,1,6,H
2,4,2,3,2,5,5,6,4,5,4,6,2,6,2,6,O
4,5,4,4,4,6,5,5,3,5,4,6,2,6,6,2,A
5,10,4,6,3,6,5,2,5,8,4,5,2,6,4,4,T
2,5,3,4,4,5,6,2,3,4,5,7,4,8,4,4,L
2,6,3,4,2,1,10,4,2,8,7,4,1,6,2,4,F
3,3,4,4,1,7,6,4,2,4,10,6,2,6,1,6,V
2,2,3,2,2,5,6,2,3,8,4,3,1,7,2,6,P
3,5,4,4,2,4,8,2,6,8,6,4,1,8,2,3,T
4,7,4,4,3,5,5,2,3,5,4,6,4,6,4,5,R
1,5,2,4,1,9,2,6,3,9,3,8,1,4,1,6,J
2,2,2,4,1,1,1,4,4,1,1,5,1,6,1,6,L
4,7,5,6,4,3,6,3,5,8,7,6,2,6,3,4,E
3,7,4,5,3,5,5,2,8,6,4,6,1,6,6,6,Z
2,4,4,5,2,4,6,3,2,5,10,6,2,6,1,6,V
1,7,2,6,2,5,5,1,6,5,4,6,1,6,2,6,I
2,7,3,5,2,2,5,4,8,5,4,10,1,6,5,5,E
3,6,4,4,4,4,5,2,4,4,4,6,2,6,4,7,K
3,6,4,5,3,5,5,6,4,5,4,4,2,6,2,6,O
2,2,2,2,1,5,7,2,3,8,4,2,1,6,2,6,P
2,4,2,2,2,5,6,4,4,5,4,4,4,7,2,4,N
3,5,4,4,3,6,6,2,4,9,4,4,2,6,2,6,F
3,4,4,5,2,5,5,4,3,5,4,6,2,6,3,6,X
3,6,3,4,2,2,5,4,8,5,4,10,1,6,5,5,E
2,4,3,3,2,6,4,3,4,7,3,4,2,6,2,6,D
2,6,2,4,2,5,6,2,8,6,4,6,1,6,5,6,Z
3,4,4,3,2,6,6,3,6,8,6,5,2,7,4,4,S
2,3,3,2,1,5,8,2,2,5,8,6,2,7,1,6,V
2,4,3,3,2,4,4,4,4,6,5,8,2,6,3,7,G
2,4,3,2,2,5,5,5,3,6,4,5,2,6,2,5,O
1,1,2,1,1,4,8,5,2,7,4,3,1,6,2,6,P
3,4,4,3,2,5,4,4,4,8,4,8,2,7,2,7,G
4,6,4,4,2,2,8,2,2,6,8,6,2,8,1,5,V
2,4,3,2,2,5,6,2,6,8,5,6,2,6,3,6,E
2,1,2,2,1,4,6,5,5,6,5,9,1,6,3,7,C
2,3,2,2,2,5,5,6,4,5,4,6,2,6,2,6,O
3,6,4,4,2,4,4,5,4,7,5,8,2,6,3,6,G
2,1,2,1,1,5,4,7,3,5,8,6,2,7,1,6,U
3,6,4,4,2,5,4,3,4,10,5,8,1,4,1,5,J
2,4,4,4,3,4,4,2,3,5,4,8,3,7,5,6,C
2,4,4,3,2,4,6,2,6,8,6,7,2,6,3,4,E
2,4,3,4,2,6,6,4,3,4,6,6,2,6,4,6,Q
3,6,4,4,2,6,5,3,6,8,5,5,2,7,4,6,S
1,3,2,2,1,5,6,1,5,9,4,6,1,6,1,5,I
2,7,4,5,1,4,10,1,4,6,8,5,1,6,1,6,T
4,7,4,6,2,4,5,5,8,4,4,9,1,6,3,6,C
4,8,6,6,5,5,5,2,6,4,5,7,2,6,4,6,X
2,6,3,4,2,6,4,2,1,6,1,6,2,4,1,6,A
3,5,4,4,4,5,5,4,2,5,4,6,2,5,6,2,A
2,2,4,3,2,5,8,2,2,5,6,6,5,8,1,6,W
2,2,4,4,2,6,4,5,6,4,4,7,1,6,4,8,G
4,8,6,6,4,4,6,1,5,4,8,6,2,8,2,6,Y
2,5,3,4,2,3,8,5,1,7,4,3,1,7,2,6,P
2,3,2,2,2,4,5,4,4,7,5,7,2,6,3,6,G
2,2,3,3,2,4,4,4,4,4,4,6,2,6,2,6,G
3,5,3,4,2,5,5,8,1,5,5,5,2,6,1,6,H
1,1,1,1,1,5,4,4,2,5,4,6,2,6,2,6,O
2,4,2,2,2,6,8,2,4,4,8,5,2,8,1,5,T
2,4,3,3,2,4,3,2,6,4,2,5,1,4,2,5,L
4,6,6,4,3,4,6,1,6,7,6,6,2,6,2,5,X
2,2,2,1,1,6,5,5,4,5,4,6,2,6,2,6,O
3,6,3,3,2,7,2,3,2,7,4,8,4,3,3,7,A
3,5,3,4,2,4,5,4,4,6,5,8,2,6,3,7,G
2,6,4,5,4,6,6,2,2,6,3,4,3,6,4,4,J
2,8,3,6,4,5,5,2,4,8,4,6,3,5,2,4,J
2,2,3,2,1,4,8,2,5,8,6,4,1,8,2,4,T
3,6,4,4,2,5,4,4,3,10,6,10,1,4,1,5,J
4,8,6,6,6,6,5,4,4,4,5,4,8,6,3,4,M
3,2,4,2,3,6,4,4,3,4,5,4,6,4,2,4,M
2,4,3,3,2,5,4,10,1,5,5,6,2,6,1,6,H
2,1,2,1,1,5,5,8,1,4,4,6,4,6,1,6,N
1,1,1,1,1,4,5,5,4,4,4,4,2,6,2,6,D
5,9,4,5,2,6,5,2,6,6,4,6,3,6,3,6,X
1,1,2,1,1,5,5,2,7,6,4,6,1,6,4,6,Z
2,4,3,5,1,6,10,1,4,4,8,6,1,6,1,6,T
4,6,6,5,6,6,4,4,4,5,4,5,6,8,6,4,B
6,10,6,6,4,6,6,3,3,8,3,4,4,8,4,5,P
1,6,1,4,1,5,5,4,2,5,4,6,1,6,1,6,I
2,4,3,3,2,5,5,4,7,4,4,6,2,6,5,6,Z
2,1,2,1,1,6,4,4,4,4,4,6,1,6,4,7,G
4,8,4,6,4,6,6,9,1,4,4,6,4,6,1,7,N
2,4,3,3,3,4,7,5,2,5,3,6,2,4,4,8,R
2,4,4,3,2,5,5,2,7,8,4,6,1,6,4,6,Z
2,6,4,4,4,6,5,2,2,6,3,4,3,6,4,4,J
2,3,3,2,2,5,5,2,5,7,4,5,1,6,4,6,S
2,5,2,4,2,4,4,6,5,4,5,5,2,6,6,7,B
4,6,5,4,4,6,5,2,6,8,4,5,1,5,4,5,Z
1,1,1,1,1,5,5,3,3,5,4,6,1,6,1,6,I
4,4,4,3,2,3,8,2,2,7,8,5,2,7,1,6,V
1,1,1,2,1,5,5,2,4,5,4,6,1,6,2,6,I
3,6,4,4,2,6,4,6,6,5,4,6,2,6,3,6,O
2,4,2,4,3,6,5,6,2,4,4,7,2,6,3,6,Q
5,8,7,6,6,5,8,4,3,8,4,2,2,8,3,6,P
1,6,1,4,1,5,5,3,3,5,4,6,1,6,1,6,I
3,8,4,6,2,5,5,10,2,3,4,6,4,6,1,6,N
2,5,2,4,2,1,8,2,4,8,8,6,1,6,2,5,F
6,7,4,10,4,4,8,2,2,8,5,4,2,6,9,4,Z
3,5,4,4,3,4,8,2,2,5,6,6,6,8,1,6,W
1,8,1,6,1,5,5,3,3,5,4,6,1,6,1,6,I
6,10,4,6,2,5,5,6,6,8,5,7,2,6,4,6,C
2,2,3,3,1,4,5,5,6,5,4,9,1,6,3,6,C
4,6,5,5,6,6,5,2,4,4,5,6,4,7,6,6,E
3,4,4,3,3,4,4,4,4,6,3,5,2,5,3,5,O
4,5,4,4,4,4,5,4,4,4,3,5,3,5,4,4,D
4,6,4,4,2,2,8,2,2,7,8,6,2,7,1,6,V
2,1,2,2,2,5,5,4,5,5,4,6,2,6,4,7,E
2,6,3,5,3,4,6,6,2,5,4,6,2,5,4,8,R
2,2,2,2,2,5,5,4,6,4,4,6,1,6,5,6,Z
3,4,4,4,4,6,6,3,4,5,4,6,2,6,6,5,J
3,6,4,5,4,6,5,2,4,5,4,4,2,6,4,6,X
2,6,4,5,3,5,5,4,6,4,3,6,2,6,4,6,E
3,5,4,4,2,5,5,4,7,5,5,6,2,6,4,6,E
6,10,6,6,4,6,6,2,4,8,3,4,4,5,6,6,F
1,1,2,1,1,5,2,2,1,4,2,6,1,4,1,5,A
7,10,6,6,3,5,6,2,7,9,4,4,2,6,4,4,T
2,2,2,2,1,3,8,2,2,7,8,5,2,8,1,6,V
3,5,4,4,4,5,5,2,4,7,4,6,2,6,2,6,H
4,7,4,4,2,8,2,2,5,8,2,6,2,6,4,9,Q
4,6,4,3,2,4,6,3,3,8,6,4,3,7,3,3,Y
2,4,4,2,2,4,7,2,4,9,5,4,1,6,2,5,F
1,2,1,2,1,5,5,1,5,5,4,6,1,6,2,6,I
2,1,2,1,1,5,5,8,1,4,4,6,3,6,1,6,N
3,6,3,3,2,4,4,4,3,5,6,6,3,5,2,6,U
3,4,3,3,2,2,8,2,2,8,8,6,2,8,1,6,V
4,5,6,4,3,5,6,2,4,7,4,4,4,6,1,5,N
2,5,3,4,2,6,5,5,4,5,4,5,2,6,3,5,H
4,8,4,4,3,6,4,3,2,6,6,8,3,6,5,8,C
4,6,7,4,5,3,5,2,4,8,7,8,6,6,3,5,M
1,1,1,1,1,4,6,5,2,5,4,6,2,5,3,7,R
2,2,4,2,2,4,8,2,4,9,5,3,1,6,1,5,F
6,8,8,6,5,6,5,2,5,7,2,6,2,6,2,6,K
4,7,4,6,2,5,5,3,10,6,4,6,1,6,6,6,Z
1,1,2,2,1,5,8,1,4,5,8,6,1,8,1,6,Y
4,5,4,6,6,6,6,5,2,5,5,6,6,8,4,3,Y
2,5,4,4,2,4,6,3,1,5,6,6,6,6,1,6,W
2,1,2,1,1,6,5,5,4,4,4,6,2,6,2,6,Q
3,4,4,4,4,4,6,3,2,4,4,6,5,4,5,6,R
4,8,6,6,4,4,8,3,3,9,4,2,1,7,2,6,P
5,8,6,6,4,4,6,2,5,7,4,4,2,5,4,4,S
3,6,4,4,3,4,6,3,5,4,4,7,2,6,3,6,K
7,10,6,6,2,3,8,2,6,8,6,3,2,6,2,2,T
4,8,4,6,4,4,5,7,5,4,3,4,3,7,4,6,D
4,7,4,6,3,6,5,6,4,7,4,6,2,6,2,6,O
1,1,2,1,1,5,5,2,8,6,4,6,1,6,4,6,Z
4,6,6,6,6,5,5,3,3,5,4,6,6,5,5,6,R
4,8,6,6,6,6,6,6,4,4,4,6,2,5,6,3,A
4,5,6,4,4,5,4,3,4,6,4,8,4,4,5,4,O
2,5,3,4,2,5,5,10,2,4,4,6,4,6,1,6,N
2,1,2,2,2,6,6,4,4,5,4,5,2,6,6,6,S
6,7,4,10,4,4,7,3,2,8,5,4,2,6,10,4,Z
2,5,2,4,2,5,6,2,8,6,4,6,1,6,5,5,Z
2,6,4,4,3,5,5,2,6,4,4,6,2,6,4,5,X
4,4,4,5,2,5,6,10,1,5,3,6,2,6,1,6,H
3,6,4,5,5,5,6,4,2,4,4,7,3,6,5,5,G
2,4,3,5,4,5,6,2,2,5,5,6,2,8,5,4,Y
1,3,2,2,1,5,5,1,6,10,4,6,1,6,1,6,I
6,7,5,4,2,5,7,4,4,3,4,7,4,8,2,5,N
3,6,3,4,3,4,7,6,2,6,4,4,1,7,2,6,P
3,5,4,4,4,4,6,4,3,6,5,6,2,6,5,7,P
4,6,4,3,2,4,6,2,3,7,6,4,2,7,3,3,Y
2,5,3,4,2,4,6,4,3,6,5,6,4,6,1,5,N
4,8,4,6,3,7,2,2,5,6,2,6,3,4,4,6,L
4,6,6,5,6,4,7,3,4,6,5,6,3,7,6,5,E
4,6,4,5,4,6,6,5,4,5,4,5,2,5,6,6,S
2,4,3,3,2,6,5,4,4,4,4,4,2,6,4,7,B
2,2,3,1,2,6,4,3,4,7,3,4,2,6,2,6,D
3,3,4,2,1,3,8,3,3,8,8,4,2,7,1,6,V
3,4,5,5,2,5,4,2,1,5,1,6,2,5,1,6,A
2,6,3,4,2,4,6,1,6,10,5,6,1,6,1,5,I
4,4,4,6,4,6,6,4,2,6,6,7,2,6,4,6,Q
2,1,2,1,1,4,5,4,6,5,4,10,1,6,3,7,C
2,4,4,3,2,6,5,2,4,7,3,4,2,5,2,6,R
6,8,6,4,4,6,5,2,4,7,5,6,4,8,3,6,K
2,3,3,2,2,4,4,4,4,5,4,6,2,5,3,6,G
6,8,5,4,3,6,6,3,5,6,2,4,4,4,3,6,H
3,4,4,6,5,7,6,4,2,5,5,5,4,7,6,3,Y
3,6,4,5,2,4,3,3,6,4,2,4,1,4,2,4,L
2,4,4,3,2,6,8,2,2,4,7,6,2,7,2,7,V
1,1,1,1,1,8,3,4,2,8,3,8,1,5,1,6,J
2,4,3,2,2,5,3,1,6,6,2,7,1,5,2,6,L
2,6,3,4,2,3,2,4,5,1,1,4,1,4,1,4,L
4,8,6,6,4,3,6,2,6,7,6,6,2,6,4,4,E
4,4,4,6,4,7,8,4,3,4,5,5,4,8,6,4,Y
1,2,2,2,1,7,4,2,4,8,3,6,1,4,1,5,J
2,6,3,4,2,4,4,2,1,4,1,6,2,5,2,5,A
2,1,2,1,1,4,5,6,1,5,4,8,2,6,2,8,K
3,5,5,4,4,5,5,2,2,5,4,6,4,6,4,5,R
5,6,5,5,2,3,8,2,6,8,8,4,1,7,2,3,Y
3,3,4,2,2,4,6,4,6,7,6,6,2,6,2,4,U
4,3,4,5,2,4,5,5,8,5,4,8,1,6,3,6,C
4,6,4,4,3,5,5,6,4,7,5,6,2,6,3,6,O
4,5,5,6,5,5,7,4,4,6,5,6,4,6,5,4,F
2,1,2,2,2,4,6,4,3,6,5,3,1,7,2,5,P
2,4,3,3,2,5,6,6,5,6,5,2,2,6,2,5,D
2,2,2,2,2,5,5,4,4,5,4,4,2,6,4,7,B
4,6,6,4,3,4,6,1,6,7,6,6,2,6,2,5,X
2,4,4,2,2,4,5,4,4,5,4,6,2,6,2,6,H
2,4,3,3,2,5,5,1,6,9,4,6,1,6,1,6,I
2,4,2,3,1,5,4,9,4,5,9,6,2,6,1,6,U
4,4,4,6,2,6,4,10,4,4,10,6,2,6,1,6,U
3,2,4,3,3,6,4,4,3,4,5,6,6,4,2,4,M
3,2,3,2,2,5,6,4,4,4,4,4,2,5,3,6,R
1,2,2,1,1,4,6,3,4,8,6,8,1,6,2,6,C
3,6,4,4,3,4,6,5,4,6,6,10,2,7,3,7,C
2,5,4,4,3,5,6,5,4,5,4,4,2,6,5,7,B
5,6,6,6,4,4,5,4,6,6,5,6,3,4,4,4,O
2,3,2,2,1,4,3,3,5,2,2,4,1,5,1,4,L
2,1,3,2,2,5,5,4,4,5,4,6,2,5,3,6,G
2,4,4,3,4,5,5,3,3,5,4,6,4,6,6,4,B
4,5,6,6,6,5,6,2,2,5,6,4,4,7,4,3,P
2,3,2,2,2,4,7,3,4,7,6,4,1,7,2,4,F
3,3,4,4,2,5,4,4,6,4,4,6,1,6,6,6,S
2,4,4,3,2,5,5,2,6,4,4,6,2,6,4,6,X
3,6,4,5,3,4,8,3,4,8,7,4,2,7,2,4,F
2,2,2,1,1,4,8,2,4,8,6,4,1,7,1,4,T
4,7,3,4,2,6,5,4,4,6,3,5,4,6,4,6,O
3,5,4,4,5,5,6,3,1,6,5,6,4,7,4,6,V
2,2,2,2,2,6,5,2,6,4,4,5,2,6,4,5,X
4,5,4,4,3,4,5,4,5,6,5,6,2,6,2,4,U
3,2,3,4,2,5,5,10,2,4,4,6,4,6,1,6,N
3,6,4,4,4,4,4,4,3,5,5,8,5,4,2,7,M
3,4,4,3,2,5,6,2,3,7,4,5,4,6,1,5,N
2,6,4,4,3,4,5,4,4,4,4,4,2,6,4,6,R
3,4,4,4,4,6,6,4,4,5,4,6,4,6,6,2,B
3,5,5,4,4,4,8,2,2,6,6,6,5,8,1,6,W
1,1,1,1,1,5,5,2,6,6,4,6,1,6,4,6,Z
5,10,5,6,4,6,6,3,3,8,4,3,3,8,4,4,P
4,6,6,5,6,5,6,4,4,6,4,6,5,5,6,4,B
2,2,3,2,2,5,5,5,4,5,5,5,2,6,2,5,O
3,5,4,4,2,6,7,1,4,3,8,6,2,8,2,6,Y
2,2,2,1,2,6,4,2,4,7,3,4,2,6,2,6,D
2,4,2,3,1,3,6,6,2,5,3,8,2,6,2,7,K
4,8,6,6,4,8,2,2,2,6,2,6,4,5,3,6,A
1,1,2,1,1,5,5,4,6,5,4,9,1,6,3,7,C
3,7,4,6,4,6,5,4,7,5,4,5,1,5,6,6,Z
2,4,4,4,3,6,5,2,4,5,6,4,3,7,2,4,A
4,8,4,6,3,6,4,2,4,4,5,4,1,7,3,5,I
4,6,4,4,3,6,5,2,3,7,4,5,4,6,4,5,H
2,2,3,3,2,5,5,5,5,5,4,4,2,6,2,5,D
2,4,3,3,3,4,5,4,2,4,4,5,2,6,4,4,B
3,4,4,3,4,6,6,3,3,4,5,5,5,8,4,6,B
2,1,2,1,1,5,4,7,1,5,6,6,4,4,1,6,M
1,2,2,1,1,6,2,2,1,6,2,6,1,4,1,6,A
1,1,1,1,1,2,2,4,3,1,2,4,1,6,1,6,L
3,5,5,4,5,6,4,2,1,6,3,6,7,4,2,4,M
4,7,4,6,4,4,4,6,6,4,4,5,2,6,7,7,B
2,2,2,3,1,1,10,3,2,8,6,4,1,6,2,4,F
3,2,3,4,1,1,1,4,4,1,1,3,1,6,1,6,L
2,5,4,4,2,8,2,2,2,7,2,6,2,4,2,6,A
2,2,2,2,2,6,6,4,2,5,6,7,2,6,3,6,Q
2,5,4,4,2,5,7,1,2,5,8,6,1,8,1,6,Y
2,5,4,4,2,4,6,1,6,7,6,6,2,6,2,5,X
1,1,2,1,1,5,10,1,3,5,7,6,1,6,1,6,T
2,3,2,3,2,6,6,4,2,6,5,6,2,6,3,6,Q
4,8,6,6,5,5,5,6,4,5,4,4,2,5,2,6,N
2,4,4,4,4,5,5,3,4,5,3,6,3,5,4,4,D
4,4,6,3,3,6,4,2,4,6,4,5,6,4,2,6,M
3,4,4,5,3,6,4,4,3,6,4,7,2,6,4,6,Q
